session_idx,participant_file,Participant,Language,model_family,scale,window_sec,component,modality,token_step,tokens_in_session,center_progress,anchor_sec,approx_start_sec,approx_end_sec,event_phase,nearest_naming_distance_sec,naming_events,naming_events_per_min,code,z1,z2,q1,q2,CG_gaze_object,CG_gaze_cpa,CG_gaze_other,CG_touch,CG_attention_beh,CG_reflang,Child_gaze_object,Child_gaze_cpa,Child_gaze_other,Child_touch,Child_attention_beh,Child_reflang,dyadic_object_gaze_overlap,dyadic_cpa_gaze_overlap,dyadic_other_gaze_overlap,CG_language,Child_language,language_naming_group,Session,Child_Hearing,group,Age_Months,Gender
25,P102_S2_NL_AB_JS_IS.eaf,P102,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2595,0.0007698229164816,0.4999999701976776,0.0,1.0,far,69.22900390625,76,7.020785219399539,0,3.3232452869415283,-2.488405227661133,3.95365571975708,-1.2200936079025269,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,high,S2,Comparison,non-Signer,57.97,F
26,P103_S2_NL_JS_AB_AB_AB.eaf,P103,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2508,0.000796495412942,0.5,0.0,1.0,far,14.1400146484375,65,6.212664277180406,5,3.0080714225769043,-0.0375387743115425,2.9383668899536133,-0.3272527158260345,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,high,S2,Unknown,,,
27,P104_S1_NL_NS_IS_JS.eaf,P104,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2179,0.0009165902738459,0.5,0.0,1.0,far,12.4129638671875,27,2.969752520623281,5,3.0396411418914795,0.1504908204078674,2.9383668899536133,-0.3272527158260345,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low,S1,Comparison,non-Signer,34.55,F
28,P104_S2_NL_AB_JS_LA_MM_JS.eaf,P104,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2362,0.0008456659852527,0.5,0.0,1.0,far,20.60003662109375,56,5.6828752642706135,1,-0.0823137015104293,-0.4447656273841858,-0.5152609944343567,-0.5455045700073242,0.25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,high,S2,Comparison,non-Signer,40.77,F
29,P106_S1_NL_NS_JS_IS.eaf,P106,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2404,0.0008309098193421,0.4999999701976776,0.0,1.0,far,30.5250244140625,31,3.090984628167844,0,3.085761547088623,-2.5994038581848145,3.95365571975708,-1.2200936079025269,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,low,S1,Comparison,non-Signer,37.58,M
30,P106_S2_NL_AB_JS_IJ_BH_AB_AB.eaf,P106,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2512,0.0007952286396175,0.5,0.0,1.0,far,4.06201171875,40,3.817097415506959,1,-1.484154224395752,-0.5985215902328491,-0.5152609944343567,-0.5455045700073242,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,S2,Comparison,non-Signer,43.68,M
31,P107_S1_NL_ET_AB_AB_JS.eaf,P107,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2389,0.0008361203945241,0.5,0.0,1.0,far,48.6080322265625,42,4.214046822742475,7,1.3377788066864014,-2.858215093612671,1.1396830081939695,-0.7363004684448242,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,low,S1,Comparison,non-Signer,57.26,M
32,P107_S2_NL_merged_MM_JS_IS.eaf,P107,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2363,0.000845308532007,0.5,0.0,1.0,far,19.68096923828125,78,7.912087912087912,7,1.898872137069702,-2.5698366165161133,1.1396830081939695,-0.7363004684448242,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,high,S2,Comparison,non-Signer,62.81,M
33,P108_S1_NL_merge_AB_JS_AB_AB.eaf,P108,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2412,0.0008281573536805,0.5,0.0,1.0,far,9.531005859375,81,8.049689440993788,3,2.074955463409424,1.242333173751831,1.440893054008484,0.658514678478241,0.5,0.75,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,high,S1,Comparison,non-Signer,28.9,F
34,P109_S1_NL_IS_JS.eaf,P109,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2416,0.0008267879020422,0.4999999701976776,0.0,1.0,far,7.64801025390625,101,10.020669698222406,0,2.725654125213623,-2.670990467071533,3.95365571975708,-1.2200936079025269,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,high,S1,Comparison,non-Signer,37.52,F
35,P109_S2_NL_AB_JS_IS_BH_IS.eaf,P109,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2322,0.0008602150483056,0.5,0.0,1.0,during,0.0,82,8.464516129032258,2,-4.368969917297363,0.0493486672639846,-3.4327147006988525,1.4531491994857788,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,high,S2,Comparison,non-Signer,43.26,F
36,P11_S1_NGT_DE21jan_MM_AB.eaf,P11,NGT,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,1658,0.0012040939182043,0.5,0.0,1.0,far,8.8800048828125,20,2.8898254063816977,3,2.1549110412597656,0.7091039419174194,1.440893054008484,0.658514678478241,0.5,0.75,0.0,1.0,0.75,0.0,1.0,0.0,0.25,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,low,S1,Deaf,Signer,15.65,M
37,P11_S2_NGT_DE_MM_AB.eaf,P11,NGT,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2641,0.0007564296247437,0.4999999701976776,0.0,1.0,far,5.449951171875,49,4.447806354009077,3,1.9843783378601076,1.3098552227020264,1.440893054008484,0.658514678478241,0.5,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,high,S2,Deaf,Signer,21.9,M
38,P110_S1_NL_NS_AB_AB_AB.eaf,P110,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2783,0.0007178750820457,0.5,0.0,1.0,far,51.80999755859375,76,6.547020818377603,2,-4.976687431335449,0.6437746286392212,-3.4327147006988525,1.4531491994857788,0.0,0.75,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.25,0.5,0.5,high,S1,Unknown,,,
39,P12_S1_NGT_JS_MM_MM.eaf,P12,NGT,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,3081,0.0006485084304586,0.5,0.0,1.0,far,38.96600341796875,25,1.9455252918287935,1,-0.3424924910068512,-1.4499762058258057,-0.5152609944343567,-0.5455045700073242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,S1,Hearing,Signer,13.45,F
40,P153_S1_NL_MM_JS_IS_MM.eaf,P153,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2600,0.0007683442090637,0.5,0.0,1.0,far,9.63299560546875,52,4.79446792162889,1,-0.4656274318695068,-2.343766450881958,-0.5152609944343567,-0.5455045700073242,1.0,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,low,S1,Comparison,non-Signer,14.77,F
41,P154_S1_NL_MM_JS_IS_MM.eaf,P154,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,1678,0.0011897679651156,0.5,0.0,1.0,far,4.1409912109375,36,5.13979773944081,2,-3.6084022521972656,-0.4489472806453705,-3.4327147006988525,1.4531491994857788,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,low,S1,Comparison,non-Signer,20.61,M
